CustomerID,Recency,Frequency,Monetary,Cluster,Persona
CUST_0001,18,6,298.94,2,VIP High-Spenders
CUST_0002,78,2,120.78,1,Active General Shoppers
CUST_0003,184,2,101.80000000000001,0,Slipping/At-Risk Customers
CUST_0004,24,2,164.32,1,Active General Shoppers
CUST_0005,346,1,20.43,0,Slipping/At-Risk Customers
CUST_0006,25,3,213.49999999999997,1,Active General Shoppers
CUST_0007,150,4,168.84,0,Slipping/At-Risk Customers
CUST_0008,69,6,302.3,2,VIP High-Spenders
CUST_0009,57,6,501.83,2,VIP High-Spenders
CUST_0010,42,8,262.77,2,VIP High-Spenders
CUST_0011,52,3,152.1,1,Active General Shoppers
CUST_0012,11,5,200.52,1,Active General Shoppers
CUST_0013,1,10,707.63,2,VIP High-Spenders
CUST_0014,19,2,40.71,1,Active General Shoppers
CUST_0015,39,9,411.36,2,VIP High-Spenders
CUST_0016,32,4,433.90000000000003,2,VIP High-Spenders
CUST_0017,44,7,492.66999999999996,2,VIP High-Spenders
CUST_0018,15,7,283.58,2,VIP High-Spenders
CUST_0019,55,6,232.45,1,Active General Shoppers
CUST_0020,125,4,58.91,0,Slipping/At-Risk Customers
CUST_0021,37,9,411.21999999999997,2,VIP High-Spenders
CUST_0022,5,4,178.15,1,Active General Shoppers
CUST_0023,72,4,67.03,1,Active General Shoppers
CUST_0024,41,4,265.90000000000003,1,Active General Shoppers
CUST_0025,50,6,422.86,2,VIP High-Spenders
CUST_0026,193,4,156.87,0,Slipping/At-Risk Customers
CUST_0027,55,4,164.06,1,Active General Shoppers
CUST_0028,328,2,164.60999999999999,0,Slipping/At-Risk Customers
CUST_0029,223,1,31.33,0,Slipping/At-Risk Customers
CUST_0030,71,1,46.24,1,Active General Shoppers
CUST_0031,130,4,333.32,1,Active General Shoppers
CUST_0032,10,4,251.75,1,Active General Shoppers
CUST_0033,190,4,187.13,0,Slipping/At-Risk Customers
CUST_0034,30,8,672.7099999999999,2,VIP High-Spenders
CUST_0035,91,3,188.89999999999998,1,Active General Shoppers
CUST_0036,114,2,70.95,0,Slipping/At-Risk Customers
CUST_0037,113,1,88.96,0,Slipping/At-Risk Customers
CUST_0038,25,3,89.48,1,Active General Shoppers
CUST_0039,2,13,703.62,2,VIP High-Spenders
CUST_0040,63,5,503.84,2,VIP High-Spenders
CUST_0041,2,4,124.69,1,Active General Shoppers
CUST_0042,12,6,218.5,1,Active General Shoppers
CUST_0043,13,6,212.8,1,Active General Shoppers
CUST_0044,6,5,198.32,1,Active General Shoppers
CUST_0045,23,7,377.17,2,VIP High-Spenders
CUST_0046,55,6,330.65,2,VIP High-Spenders
CUST_0047,42,8,766.1,2,VIP High-Spenders
CUST_0048,37,5,342.36,1,Active General Shoppers
CUST_0049,10,5,301.03999999999996,1,Active General Shoppers
CUST_0050,160,4,109.45,0,Slipping/At-Risk Customers
CUST_0051,91,3,199.64,1,Active General Shoppers
CUST_0052,77,7,387.06,2,VIP High-Spenders
CUST_0053,31,8,462.73,2,VIP High-Spenders
CUST_0054,35,2,50.25,1,Active General Shoppers
CUST_0055,100,2,61.71,0,Slipping/At-Risk Customers
CUST_0056,137,2,151.37,0,Slipping/At-Risk Customers
CUST_0057,185,4,236.23000000000002,0,Slipping/At-Risk Customers
CUST_0058,167,5,263.63,0,Slipping/At-Risk Customers
CUST_0059,7,11,300.36,2,VIP High-Spenders
CUST_0060,10,4,140.1,1,Active General Shoppers
CUST_0061,21,4,453.25,2,VIP High-Spenders
CUST_0062,110,5,253.20999999999998,1,Active General Shoppers
CUST_0063,202,1,19.67,0,Slipping/At-Risk Customers
CUST_0064,4,2,48.489999999999995,1,Active General Shoppers
CUST_0065,45,7,529.1899999999999,2,VIP High-Spenders
CUST_0066,19,8,420.27,2,VIP High-Spenders
CUST_0067,62,2,34.96,1,Active General Shoppers
CUST_0068,40,5,262.08000000000004,1,Active General Shoppers
CUST_0069,203,3,55.62,0,Slipping/At-Risk Customers
CUST_0070,53,3,67.66,1,Active General Shoppers
CUST_0071,97,4,280.21999999999997,1,Active General Shoppers
CUST_0072,36,4,210.18,1,Active General Shoppers
CUST_0073,7,8,368.24,2,VIP High-Spenders
CUST_0074,179,5,317.94,0,Slipping/At-Risk Customers
CUST_0075,5,6,353.59000000000003,2,VIP High-Spenders
CUST_0076,135,4,197.06,0,Slipping/At-Risk Customers
CUST_0077,62,4,107.82,1,Active General Shoppers
CUST_0078,1,5,459.43,2,VIP High-Spenders
CUST_0079,20,7,484.17,2,VIP High-Spenders
CUST_0080,99,5,356.55,1,Active General Shoppers
CUST_0081,36,8,443.72,2,VIP High-Spenders
CUST_0082,174,6,275.55,0,Slipping/At-Risk Customers
CUST_0083,47,5,168.08,1,Active General Shoppers
CUST_0084,104,6,425.39,2,VIP High-Spenders
CUST_0085,99,2,43.78,0,Slipping/At-Risk Customers
CUST_0086,46,9,687.51,2,VIP High-Spenders
CUST_0087,57,3,288.44,1,Active General Shoppers
CUST_0088,60,6,215.89,1,Active General Shoppers
CUST_0089,25,7,441.35,2,VIP High-Spenders
