InvoiceID,CustomerID,InvoiceDate,PurchaseAmount
INV_744167,CUST_0103,2025-12-15,16.62
INV_621430,CUST_0701,2025-01-21,15.13
INV_291335,CUST_0331,2025-03-29,25.77
INV_887201,CUST_0664,2025-05-11,8.44
INV_203355,CUST_0344,2025-10-21,7.54
INV_521909,CUST_0277,2025-06-10,23.82
INV_600186,CUST_0253,2025-08-24,8.55
INV_627035,CUST_0059,2025-06-19,9.65
INV_184654,CUST_0976,2025-09-28,34.9
INV_428947,CUST_0958,2025-02-20,29.19
INV_665894,CUST_0832,2025-05-11,95.96
INV_765987,CUST_0021,2025-11-25,10.53
INV_798361,CUST_0601,2025-11-12,44.78
INV_748531,CUST_0777,2025-12-12,12.12
INV_704365,CUST_0092,2025-09-21,9.07
INV_905889,CUST_0081,2025-02-19,56.38
INV_271829,CUST_0390,2025-02-23,43.11
INV_302283,CUST_0477,2025-07-10,90.61
INV_635822,CUST_0162,2025-07-21,108.85
INV_679879,CUST_0456,2025-08-03,40.61
INV_707086,CUST_0725,2025-07-27,69.4
INV_842139,CUST_0053,2025-10-07,27.36
INV_476896,CUST_0188,2025-02-10,23.31
INV_555808,CUST_0857,2025-11-23,32.28
INV_401648,CUST_0648,2025-03-04,83.55
INV_112666,CUST_0392,2025-06-12,77.77
INV_807611,CUST_0773,2025-08-19,54.88
INV_475713,CUST_0135,2025-07-20,51.43
INV_701661,CUST_0033,2025-02-17,28.35
INV_556551,CUST_0728,2025-10-20,66.35
INV_999684,CUST_0726,2025-02-04,36.26
INV_723094,CUST_0943,2025-05-11,71.87
INV_318126,CUST_0767,2025-12-25,9.36
INV_353618,CUST_0858,2025-02-11,33.54
INV_731347,CUST_0575,2025-12-18,53.03
INV_827270,CUST_0096,2025-08-10,14.25
INV_264899,CUST_0749,2025-05-23,70.89
INV_979858,CUST_0525,2025-06-09,48.61
INV_164044,CUST_0086,2025-10-11,126.97
INV_867595,CUST_0574,2025-05-14,34.94
INV_252906,CUST_0556,2025-12-06,107.89
INV_487261,CUST_0640,2025-12-14,27.32
INV_717075,CUST_0225,2025-10-10,32.57
INV_551269,CUST_0973,2025-08-21,23.86
INV_328576,CUST_0456,2025-05-17,37.35
INV_265838,CUST_0819,2025-08-22,26.04
INV_693128,CUST_0827,2025-06-09,40.42
INV_139353,CUST_0692,2025-04-23,10.52
INV_865313,CUST_0564,2025-09-25,20.55
INV_881239,CUST_0387,2025-04-23,14.71
INV_737147,CUST_0081,2025-07-06,49.82
INV_369536,CUST_0566,2025-12-09,22.2
INV_937291,CUST_0385,2025-05-06,14.54
INV_819094,CUST_0730,2025-06-09,43.72
INV_911774,CUST_0836,2025-07-22,28.27
INV_206081,CUST_0294,2025-10-07,36.1
INV_455528,CUST_0198,2025-08-28,79.55
INV_115708,CUST_0124,2025-07-06,16.79
INV_212547,CUST_0771,2025-05-28,25.25
INV_862002,CUST_0403,2025-12-12,39.79
INV_501896,CUST_0148,2025-12-18,12.05
INV_373255,CUST_0929,2025-05-08,40.32
INV_925816,CUST_0641,2025-09-24,26.27
INV_654594,CUST_0946,2025-05-31,42.59
INV_207512,,2025-09-09,16.15
INV_475037,CUST_0572,2025-01-02,258.91
INV_798376,,2025-02-06,103.91
INV_690978,CUST_0233,2025-04-09,61.73
INV_421184,CUST_0404,2025-06-01,30.83
INV_132711,CUST_0920,2025-04-26,11.46
INV_803714,CUST_0420,2025-04-14,49.46
INV_802335,CUST_0112,2025-04-09,171.16
INV_881474,CUST_0878,2025-12-04,37.42
INV_138467,CUST_0720,2025-06-18,16.21
INV_158871,CUST_0801,2025-10-04,16.37
INV_956703,CUST_0896,2025-05-15,64.93
INV_271890,CUST_0033,2025-06-25,11.93
INV_573125,CUST_0470,2025-01-22,20.09
INV_499111,CUST_0230,2025-12-31,37.51
INV_940477,CUST_0283,2025-01-27,78.77
INV_760960,CUST_0609,2025-10-11,57.24
INV_727234,CUST_0453,2025-11-13,38.62
INV_811851,CUST_0192,2025-02-18,9.51
INV_398356,CUST_0220,2025-06-07,145.99
INV_920260,CUST_0518,2025-04-09,69.47
INV_538452,CUST_0280,2025-12-15,32.65
INV_748307,CUST_0607,2025-04-09,184.29
INV_368246,CUST_0191,2025-09-10,29.38
INV_650929,CUST_0161,2025-09-13,37.39
INV_465890,CUST_0793,2025-08-11,91.17
INV_172991,CUST_0872,2025-06-23,12.1
INV_156958,CUST_0943,2025-12-08,27.49
INV_730152,CUST_0155,2025-09-30,92.47
INV_679036,CUST_0811,2025-09-03,27.55
INV_544209,CUST_0682,2025-09-04,32.0
INV_348710,CUST_0921,2025-01-13,11.33
INV_364512,CUST_0825,2025-02-05,79.54
INV_548982,CUST_0776,2025-05-22,106.83
INV_766326,CUST_0143,2025-04-02,46.42
INV_152921,CUST_0959,2025-12-08,25.4
